industry,stockID,ticker,name,link
Pharmaceuticals & Chemicals,131,ACI,ACI Limited,http://lankabd.com/dse/stock-market/ACI/aci-limited/financial-statements?companyId=131&stockId=131
Bank,38,STANDBANKL,Standard Bank Limited,http://lankabd.com/dse/stock-market/STANDBANKL/standard-bank-limited/financial-statements?companyId=38&stockId=38
Travel & Leisure,296,UNIQUEHRL,Unique Hotel & Resorts Limited,http://lankabd.com/dse/stock-market/UNIQUEHRL/unique-hotel-&-resorts-limited/financial-statements?companyId=311&stockId=296
Textile,177,PRIMETEX,Prime Textile Spinning Mills Limited,http://lankabd.com/dse/stock-market/PRIMETEX/prime-textile-spinning-mills-limited/financial-statements?companyId=177&stockId=177
Financial Institutions,72,IDLC,IDLC Finance Limited,http://lankabd.com/dse/stock-market/IDLC/idlc-finance-limited/financial-statements?companyId=72&stockId=72
Cement,3,CONFIDCEM,Confidence Cement Limited,http://lankabd.com/dse/stock-market/CONFIDCEM/confidence-cement-limited/financial-statements?companyId=3&stockId=3
Bank,39,TRUSTBANK,Trust Bank Limited,http://lankabd.com/dse/stock-market/TRUSTBANK/trust-bank-limited/financial-statements?companyId=39&stockId=39
Mutual Funds,291,FBFIF,First Bangladesh Fixed Income Fund,http://lankabd.com/dse/stock-market/FBFIF/first-bangladesh-fixed-income-fund/financial-statements?companyId=307&stockId=291
Food & Allied,604,EMERALDOIL,Emerald Oil Industries Limited,http://lankabd.com/dse/stock-market/EMERALDOIL/emeraldoil/financial-statements?companyId=333&stockId=604
Insurance,209,NITOLINS,Nitol Insurance Company Limited,http://lankabd.com/dse/stock-market/NITOLINS/nitol-insurance-company-limited/financial-statements?companyId=209&stockId=209
Bank,27,MTB,Mutual Trust Bank Ltd.,http://lankabd.com/dse/stock-market/MTB/mutual-trust-bank-ltd./financial-statements?companyId=27&stockId=27
Insurance,195,DELTALIFE,Delta Life Insurance Limited,http://lankabd.com/dse/stock-market/DELTALIFE/delta-life-insurance-limited/financial-statements?companyId=195&stockId=195
Pharmaceuticals & Chemicals,150,SQURPHARMA,Square Pharmaceuticals Limited,http://lankabd.com/dse/stock-market/SQURPHARMA/square-pharmaceuticals-limited/financial-statements?companyId=150&stockId=150
Textile,162,ALLTEX,Alltex Industries Limited,http://lankabd.com/dse/stock-market/ALLTEX/alltex-industries-limited/financial-statements?companyId=162&stockId=162
Tannery Industries,157,BATASHOE,Bata Shoe Limited,http://lankabd.com/dse/stock-market/BATASHOE/bata-shoe-limited/financial-statements?companyId=157&stockId=157
Insurance,220,PROGRESLIF,Progressive Life Insurance Co. Limited,http://lankabd.com/dse/stock-market/PROGRESLIF/progressive-life-insurance-co.-limited/financial-statements?companyId=220&stockId=220
Food & Allied,87,APEXFOODS,Apex Foods Limited,http://lankabd.com/dse/stock-market/APEXFOODS/apexfoods-/financial-statements?companyId=87&stockId=87
Pharmaceuticals & Chemicals,136,BXPHARMA,BEXIMCO Pharma,http://lankabd.com/dse/stock-market/BXPHARMA/beximco-pharma-/financial-statements?companyId=136&stockId=136
Pharmaceuticals & Chemicals,146,PHARMAID,Pharma Aids Limited,http://lankabd.com/dse/stock-market/PHARMAID/pharma-aids-limited/financial-statements?companyId=146&stockId=146
Pharmaceuticals & Chemicals,134,AMBEEPHA,Ambee Pharmaceuticals Limited,http://lankabd.com/dse/stock-market/AMBEEPHA/ambee-pharmaceuticals-limited/financial-statements?companyId=134&stockId=134
