industry,stockID,ticker,name,link
Engineering,48,BDTHAI,Bangladesh Thai Aluminium Limited,http://lankabd.com/dse/stock-market/BDTHAI/bangladesh-thai-aluminium-limited/financial-statements?companyId=48&stockId=48
Textile,273,ZAHINTEX,Zahintex Industries Limited,http://lankabd.com/dse/stock-market/ZAHINTEX/zahintex-industries-limited/financial-statements?companyId=286&stockId=273
Financial Institutions,69,FASFIN,FAS Finance & Investment Limited,http://lankabd.com/dse/stock-market/FASFIN/fas-finance-&-investment-limited/financial-statements?companyId=69&stockId=69
Food & Allied,604,EMERALDOIL,Emerald Oil Industries Limited,http://lankabd.com/dse/stock-market/EMERALDOIL/emeraldoil/financial-statements?companyId=333&stockId=604
Insurance,198,EASTLAND ,Eastland Insurance Company Limited,http://lankabd.com/dse/stock-market/EASTLAND/eastland-insurance-company-limited/financial-statements?companyId=198&stockId=198
Insurance,213,PHENIXINS,Phoenix Insurance Company Ltd.,http://lankabd.com/dse/stock-market/PHENIXINS/phoenix-insurance-company-ltd./financial-statements?companyId=213&stockId=213
Food & Allied,100,ZEALBANGLA,Zeal Bangla Sugar Mills Limited,http://lankabd.com/dse/stock-market/ZEALBANGLA/zeal-bangla-sugar-mills-limited/financial-statements?companyId=100&stockId=100
Bank,41,UTTARABANK,Uttara Bank Limited,http://lankabd.com/dse/stock-market/UTTARABANK/uttara-bank-limited/financial-statements?companyId=41&stockId=41
Travel & Leisure,296,UNIQUEHRL,Unique Hotel & Resorts Limited,http://lankabd.com/dse/stock-market/UNIQUEHRL/unique-hotel-&-resorts-limited/financial-statements?companyId=311&stockId=296
Pharmaceuticals & Chemicals,131,ACI,ACI Limited,http://lankabd.com/dse/stock-market/ACI/aci-limited/financial-statements?companyId=131&stockId=131
Mutual Funds,255,ICB1STNRB,ICB AMCL 1st NRB Mutual Fund,http://lankabd.com/dse/stock-market/ICB1STNRB/icb-amcl-1st-nrb-mutual-fund/financial-statements?companyId=255&stockId=255
Tannery Industries,157,BATASHOE,Bata Shoe Limited,http://lankabd.com/dse/stock-market/BATASHOE/bata-shoe-limited/financial-statements?companyId=157&stockId=157
Textile,162,ALLTEX,Alltex Industries Limited,http://lankabd.com/dse/stock-market/ALLTEX/alltex-industries-limited/financial-statements?companyId=162&stockId=162
Insurance,214,PIONEERINS,Pioneer Insurance Comapny Limited,http://lankabd.com/dse/stock-market/PIONEERINS/pioneer-insurance-comapny-limited/financial-statements?companyId=214&stockId=214
Mutual Funds,269,SEBL1STMF,Southeast Bank 1st Mutual Fund,http://lankabd.com/dse/stock-market/SEBL1STMF/southeast-bank-1st-mutual-fund/financial-statements?companyId=269&stockId=269
Textile,185,TALLUSPIN,Tallu Spinning Spinning Mills Limited,http://lankabd.com/dse/stock-market/TALLUSPIN/tallu-spinning-spinning-mills-limited/financial-statements?companyId=185&stockId=185
Textile,184,STYLECRAFT,Stylecraft Limited,http://lankabd.com/dse/stock-market/STYLECRAFT/stylecraft-limited/financial-statements?companyId=184&stockId=184
Ceramics Sector,10,RAKCERAMIC,Bangladesh) Limited,http://lankabd.com/dse/stock-market/RAKCERAMIC/rak-ceramics-(bangladesh)-limited/financial-statements?companyId=10&stockId=10
Mutual Funds,249,DBH1STMF,DBH First Mutual Fund,http://lankabd.com/dse/stock-market/DBH1STMF/dbh-first-mutual-fund/financial-statements?companyId=249&stockId=249
Insurance,218,PRIMEINSUR,Prime Insurance Company Limited,http://lankabd.com/dse/stock-market/PRIMEINSUR/prime-insurance-company-limited/financial-statements?companyId=218&stockId=218
Textile,646,ETL,Evince Textiles Limited,http://lankabd.com/dse/stock-market/ETL/evince-textiles-limited/financial-statements?companyId=370&stockId=646
Textile,169,DSHGARME,Desh Garmants Limited,http://lankabd.com/dse/stock-market/DSHGARME/desh-garmants-limited/financial-statements?companyId=169&stockId=169
Textile,167,DACCADYE,The Dacca Dyeing & Manufacturing Co.Limited,http://lankabd.com/dse/stock-market/DACCADYE/the-dacca-dyeing-&-manufacturing-co.limited/financial-statements?companyId=167&stockId=167
Pharmaceuticals & Chemicals,150,SQURPHARMA,Square Pharmaceuticals Limited,http://lankabd.com/dse/stock-market/SQURPHARMA/square-pharmaceuticals-limited/financial-statements?companyId=150&stockId=150
Services & Real Estate,153,SAMORITA,Samorita Hospital Limited,http://lankabd.com/dse/stock-market/SAMORITA/samorita-hospital-limited/financial-statements?companyId=153&stockId=153
Insurance,227,SANDHANINS,Sandhani Life Insurance,http://lankabd.com/dse/stock-market/SANDHANINS/sandhani-life-insurance/financial-statements?companyId=227&stockId=227
Cement,7,MICEMENT,M.I. Cement Factory Limited,http://lankabd.com/dse/stock-market/MICEMENT/m.i.-cement-factory-limited/financial-statements?companyId=7&stockId=7
Insurance,195,DELTALIFE,Delta Life Insurance Limited,http://lankabd.com/dse/stock-market/DELTALIFE/delta-life-insurance-limited/financial-statements?companyId=195&stockId=195
Insurance,206,MEGHNALIFE,Meghna Life Insurance Company Limited,http://lankabd.com/dse/stock-market/MEGHNALIFE/meghna-life-insurance-company-limited/financial-statements?companyId=206&stockId=206
Engineering,43,ANWARGALV,Anwar Galvanizing Limited,http://lankabd.com/dse/stock-market/ANWARGALV/anwar-galvanizing-limited/financial-statements?companyId=43&stockId=43
Mutual Funds,264,MBL1STMF,MBL 1st Mutual Fund,http://lankabd.com/dse/stock-market/MBL1STMF/mbl-1st-mutual-fund/financial-statements?companyId=264&stockId=264
Insurance,219,PRIMELIFE,Prime Islami Life Insurance Limited,http://lankabd.com/dse/stock-market/PRIMELIFE/prime-islami-life-insurance-limited/financial-statements?companyId=219&stockId=219
Bank,38,STANDBANKL,Standard Bank Limited,http://lankabd.com/dse/stock-market/STANDBANKL/standard-bank-limited/financial-statements?companyId=38&stockId=38
Mutual Funds,263,IFILISLMF1,IFIL Islamic Mutual Fund-1,http://lankabd.com/dse/stock-market/IFILISLMF1/ifil-islamic-mutual-fund-1/financial-statements?companyId=263&stockId=263
Fuel & Power,108,MPETROLEUM,Meghna Petroleum Limited,http://lankabd.com/dse/stock-market/MPETROLEUM/meghna-petroleum-limited/financial-statements?companyId=108&stockId=108
Mutual Funds,641,VAMLBDMF1,Vanguard AML BD Finance Mutual Fund One,http://lankabd.com/dse/stock-market/VAMLBDMF1/vanguard-aml-bd-finance-mutual-fund-one/financial-statements?companyId=366&stockId=641
